last_name;first_name;patronymic;gender;date_of_birth;phone;email;hiring_date;dismissal_date;job_title_id;department_id;salary;manager
Яромеева;Арина;Андрияновна;женский;1986-01-28;+7(15)582-89-05;noticias@optonline.net;2005-10-05;;6;18;231204;FALSE
Брант;Руслан;Никанорович;мужской;1975-10-24;+7(80)566-33-19;tattooman@optonline.net;2006-01-15;;4;18;101216;FALSE
Кочергова;Агафья;Святославовна;женский;1972-08-28;+7(435)959-35-18;bester@icloud.com;2006-02-25;;6;4;296543;FALSE
Фененко;Август;Еремеевич;мужской;1974-05-23;+7(77)576-19-51;pplinux@icloud.com;2006-03-16;;5;18;322093;TRUE
Мирнова;Рената;Всеволодовна;женский;1971-10-19;+7(07)418-36-36;bescoto@mac.com;2006-05-04;;2;18;57715;FALSE
Юдачёв;Виссарион;Брониславович;мужской;1987-08-03;+7(16)093-18-68;goresky@aol.com;2006-05-30;;5;15;314065;TRUE
Хомичева;Ангелина;Павеловна;женский;1970-08-14;+7(243)634-84-55;ovprit@icloud.com;2006-09-05;;9;19;75813;FALSE
Науменко;Инна;Виталиевна;женский;1980-03-19;+7(97)234-95-55;metzzo@yahoo.com;2006-09-16;;9;4;293898;FALSE
Разуваева;Полина;Карповна;женский;1992-01-02;+7(657)437-06-14;gomor@optonline.net;2006-10-30;;10;10;307530;FALSE
Ижутин;Бронислав;Титович;мужской;1992-12-20;+7(879)251-44-95;dalamb@comcast.net;2007-01-26;;6;5;338311;TRUE
Козариса;Христина;Иларионовна;женский;1991-07-05;+7(278)323-89-13;stewwy@aol.com;2007-07-18;;1;19;311068;TRUE
Гудкова;Берта;Степановна;женский;1979-08-15;+7(839)748-54-47;unreal@msn.com;2007-09-11;;9;13;310694;FALSE
Хемлин;Эдуард;Ульянович;мужской;1974-09-23;+7(625)288-97-52;bryam@mac.com;2007-09-17;;10;16;34524;FALSE
Сиянских;Мефодий;Ильевич;мужской;1997-06-07;+7(819)278-27-57;loscar@optonline.net;2007-10-02;;5;7;334897;TRUE
Справцева;Розалия;Фомевна;женский;1978-06-06;+7(110)160-52-87;vlefevre@sbcglobal.net;2007-10-23;;5;19;62987;FALSE
Маланов;Аркадий;Агапович;мужской;1995-02-25;+7(77)207-01-79;mosses@yahoo.com;2008-02-26;;10;18;99382;FALSE
Янькова;Анфиса;Елизаровна;женский;1970-05-03;+7(074)590-10-12;jbailie@me.com;2008-07-02;;4;14;333056;TRUE
Родионов;Тарас;Севастьянович;мужской;1989-06-26;+7(399)871-54-97;skoch@optonline.net;2008-07-17;;6;17;197499;FALSE
Корнейчук;Авдей;Федорович;мужской;1987-05-06;+7(786)824-66-71;denism@comcast.net;2008-08-15;;3;18;278280;FALSE
Миронова;Екатерина;Тихоновна;женский;1988-02-23;+7(737)562-46-16;majordick@optonline.net;2008-12-18;;4;11;173868;FALSE
Кашникова;Пелагея;Карповна;женский;1987-05-22;+7(970)788-56-59;tubajon@att.net;2008-12-29;;6;7;132395;FALSE
Саитов;Самуил;Макарович;мужской;1983-01-16;+7(741)130-96-88;maikelnai@yahoo.com;2009-01-25;;4;17;72332;FALSE
Аюшиев;Василий;Григориевич;мужской;1982-10-14;+7(40)123-62-17;notaprguy@me.com;2009-02-21;;7;4;176835;FALSE
Сай;Валерьян;Епифанович;мужской;1987-10-02;+7(965)203-88-89;rfoley@me.com;2009-06-23;;5;13;45949;FALSE
Кашканов;Ким;Вячеславович;мужской;1992-11-18;+7(92)890-61-57;lushe@msn.com;2009-06-28;;8;2;172596;FALSE
Вихров;Евстигней;Юриевич;мужской;1996-03-19;+7(704)419-38-47;louise@me.com;2009-08-13;;5;4;330296;TRUE
Куксилин;Николай;Прокофиевич;мужской;1984-10-29;+7(41)298-49-17;milton@mac.com;2009-08-19;;3;10;334853;TRUE
Сидоров;Мирослав;Панкратиевич;мужской;1990-08-13;+7(041)201-33-56;arebenti@optonline.net;2009-09-09;;2;13;226322;FALSE
Забиров;Никита;Никитевич;мужской;1983-02-06;+7(755)874-96-79;heroine@live.com;2010-02-26;;8;6;101515;FALSE
Бурдуковский;Мефодий;Мечиславович;мужской;1985-01-14;+7(285)658-17-23;bulletin@comcast.net;2010-06-16;;4;15;194817;FALSE
Романов;Лаврентий;Андриянович;мужской;1976-10-13;+7(479)878-93-88;ralamosm@verizon.net;2010-08-19;;3;11;333565;TRUE
Смагина;Фаина;Феликсовна;женский;1974-08-17;+7(38)071-26-72;stellaau@sbcglobal.net;2011-02-21;;3;17;56891;FALSE
Ямковой;Матвей;Назарович;мужской;1983-01-14;+7(30)127-96-40;sbmrjbr@me.com;2011-04-30;;4;7;299121;FALSE
Пишенина;Злата;Ираклиевна;женский;1981-09-21;+7(794)985-79-85;andersbr@comcast.net;2011-08-01;;1;19;216346;FALSE
Вольпова;Алла;Виталиевна;женский;1986-07-24;+7(838)952-19-25;zilla@me.com;2011-08-22;;7;4;201472;FALSE
Коденко;Анисья;Алексеевна;женский;1985-05-07;+7(52)270-84-93;cosimo@yahoo.ca;2011-11-14;;9;6;82226;FALSE
Саянкова;Зоя;Елизаровна;женский;1982-10-21;+7(91)604-26-26;denton@yahoo.ca;2012-01-04;;2;6;103242;FALSE
Кондраков;Артур;Савелиевич;мужской;1995-02-27;+7(350)798-30-35;parksh@optonline.net;2012-06-25;;3;1;26251;FALSE
Костиков;Никифор;Платонович;мужской;1974-05-12;+7(594)978-89-55;mschilli@comcast.net;2012-08-04;;6;1;311567;TRUE
Ярцов;Святослав;Всеволодович;мужской;1985-12-29;+7(972)159-21-72;budinger@verizon.net;2012-08-30;;5;14;299169;FALSE
Селезнева;Ефросинья;Карповна;женский;1991-04-26;+7(036)992-46-11;jbearp@gmail.com;2013-04-28;;10;15;61737;FALSE
Поздова;Клара;Тимуровна;женский;1975-10-13;+7(010)003-72-79;william@icloud.com;2013-05-10;;5;15;267352;FALSE
Сарнычев;Казимир;Эрнстович;мужской;1992-11-10;+7(694)946-20-82;gerlo@att.net;2013-06-24;;3;2;109027;FALSE
Лившица;Елизавета;Игоревна;женский;1989-03-10;+7(062)228-27-93;report@me.com;2013-07-01;;4;16;39149;FALSE
Анисимова;Эвелина;Николаевна;женский;1985-02-22;+7(76)644-83-81;mhoffman@yahoo.com;2013-09-11;;4;9;220572;FALSE
Добронравова;Софья;Леонидовна;женский;1972-06-20;+7(38)477-38-30;hutton@optonline.net;2014-07-09;;1;14;258474;FALSE
Ларичева;Алиса;Станиславовна;женский;1972-03-07;+7(12)050-08-18;mcnihil@msn.com;2014-07-17;;8;8;51193;FALSE
Абрамович;Павел;Филимонович;мужской;1986-05-01;+7(949)233-46-63;cisugrad@att.net;2014-09-04;;8;9;242207;FALSE
Стрельников;Савелий;Проклович;мужской;1970-02-24;+7(00)483-48-57;fwiles@icloud.com;2014-11-27;;10;8;299702;FALSE
Ишеев;Вадим;Самуилович;мужской;1990-01-24;+7(52)613-45-29;osaru@verizon.net;2014-12-25;;5;15;204201;FALSE
Усов;Родион;Феоктистович;мужской;1976-08-02;+7(718)656-97-70;keiji@aol.com;2015-06-08;;10;11;216916;FALSE
Маланов;Виктор;Кириллович;мужской;1991-02-22;+7(287)548-16-08;howler@comcast.net;2016-03-03;;5;10;107158;FALSE
Белоусова;Ярослава;Никитевна;женский;1991-08-12;+7(423)943-74-02;floxy@comcast.net;2016-05-10;;1;12;306203;TRUE
Новокшонов;Евдоким;Куприянович;мужской;1990-06-29;+7(09)061-87-85;parrt@sbcglobal.net;2016-07-01;;10;20;267865;FALSE
Чемериса;Инга;Казимировна;женский;1975-11-20;+7(24)952-79-51;sthomas@comcast.net;2016-07-27;;1;3;125073;FALSE
Базаров;Измаил;Феликсович;мужской;1981-09-17;+7(701)620-72-07;moinefou@hotmail.com;2016-08-28;;9;17;199990;FALSE
Сомова;Марианна;Федотовна;женский;1990-11-17;+7(68)477-60-21;kourai@verizon.net;2016-11-22;;4;1;159541;FALSE
Созонов;Лука;Капитонович;мужской;1986-03-17;+7(777)846-86-76;shazow@icloud.com;2017-01-23;;4;8;62880;FALSE
Сурнин;Владлен;Якубович;мужской;1993-01-23;+7(96)266-53-57;bonmots@optonline.net;2017-01-28;;10;19;240092;FALSE
Черепанов;Бронислав;Кондратович;мужской;1984-06-19;+7(242)525-99-38;jamuir@comcast.net;2017-02-03;;1;6;136683;FALSE
Ивашева;Анастасия;Анатолиевна;женский;1986-02-03;+7(844)262-86-45;gboss@me.com;2017-02-15;;9;8;84422;FALSE
Угличинина;Ярослава;Емельяновна;женский;1992-02-14;+7(09)771-22-40;chronos@verizon.net;2017-03-23;;5;12;267725;FALSE
Карманов;Григорий;Никанорович;мужской;1974-05-24;+7(676)648-10-34;dunstan@aol.com;2017-10-07;;1;11;88435;FALSE
Будникова;Любава;Никитевна;женский;1989-02-27;+7(96)617-91-78;dimensio@live.com;2017-12-13;;3;4;72178;FALSE
Перевёртов;Олег;Викентиевич;мужской;1977-08-20;+7(597)360-04-70;boser@verizon.net;2018-02-09;;9;19;173060;FALSE
Малинин;Онуфрий;Федотович;мужской;1970-06-26;+7(19)225-52-27;sumdumass@yahoo.com;2018-06-21;;10;6;347298;TRUE
Щеголева;Евгения;Геннадиевна;женский;1981-01-22;+7(475)557-57-59;jonas@comcast.net;2018-07-28;;1;3;312597;TRUE
Касимов;Родион;Всеволодович;мужской;1972-01-04;+7(10)571-59-17;pereinar@aol.com;2018-11-30;;6;8;205061;FALSE
Турчанинова;Нина;Родионовна;женский;1971-11-14;+7(33)563-40-81;mthurn@att.net;2019-03-10;;8;18;98849;FALSE
Никитина;Ника;Святославовна;женский;1976-01-31;+7(071)293-10-41;dogdude@icloud.com;2019-08-12;;4;4;121595;FALSE
